iter	Passed	Remaining
433	1943	2534
434	1947	2529
435	1962	2539
436	1973	2542
437	1977	2536
438	1978	2528
439	1979	2519
440	1982	2512
441	1988	2510
442	1989	2501
443	2000	2504
444	2004	2500
445	2006	2491
446	2009	2485
447	2011	2477
448	2012	2469
449	2023	2473
450	2026	2466
451	2027	2458
452	2028	2449
453	2031	2442
454	2032	2434
455	2034	2427
456	2036	2420
457	2038	2412
458	2044	2409
459	2046	2402
460	2049	2395
461	2050	2388
462	2052	2380
463	2059	2379
464	2060	2371
465	2063	2364
466	2065	2357
467	2066	2349
468	2068	2341
469	2074	2339
470	2077	2332
471	2079	2326
472	2081	2318
473	2082	2310
474	2084	2303
475	2088	2299
476	2090	2291
477	2092	2284
478	2094	2278
479	2095	2270
480	2096	2262
481	2100	2257
482	2103	2251
483	2104	2243
484	2106	2236
485	2109	2231
486	2111	2223
487	2112	2216
488	2117	2212
489	2119	2205
490	2121	2199
491	2123	2192
492	2124	2185
493	2126	2177
494	2131	2174
495	2132	2167
496	2134	2159
497	2136	2153
498	2137	2146
499	2138	2138
500	2139	2131
501	2140	2123
502	2147	2121
503	2149	2114
504	2150	2108
505	2153	2102
506	2154	2095
507	2155	2088
508	2162	2085
509	2163	2078
510	2165	2072
511	2167	2066
512	2169	2059
513	2170	2052
514	2171	2045
515	2178	2043
516	2180	2037
517	2184	2032
518	2186	2026
519	2195	2027
520	2199	2021
521	2200	2015
522	2202	2008
523	2212	2010
524	2214	2003
525	2216	1997
526	2225	1997
527	2228	1991
528	2229	1985
529	2231	1978
530	2238	1977
531	2241	1971
532	2244	1966
533	2245	1959
534	2246	1952
535	2253	1951
536	2257	1946
537	2259	1940
538	2261	1934
539	2268	1932
540	2269	1925
541	2272	1920
542	2275	1914
543	2277	1908
544	2281	1904
545	2283	1898
546	2287	1894
547	2289	1888
548	2303	1891
549	2305	1886
550	2311	1883
551	2314	1878
552	2316	1872
553	2318	1866
554	2319	1860
555	2320	1853
556	2327	1851
557	2330	1846
558	2332	1840
559	2333	1833
560	2334	1826
561	2341	1824
562	2342	1818
563	2345	1813
564	2347	1807
565	2348	1801
566	2350	1794
567	2355	1791
568	2358	1786
569	2359	1780
570	2361	1774
571	2363	1768
572	2364	1761
573	2369	1758
574	2373	1754
575	2376	1749
576	2377	1743
577	2379	1736
578	2380	1730
579	2390	1730
580	2392	1725
581	2393	1719
582	2404	1719
583	2407	1714
584	2409	1708
585	2415	1706
586	2417	1701
587	2419	1695
588	2422	1690
589	2423	1684
590	2424	1678
591	2439	1681
592	2441	1675
593	2443	1670
594	2446	1665
595	2448	1660
596	2450	1654
597	2456	1651
598	2462	1648
599	2464	1642
600	2470	1640
601	2473	1635
602	2479	1632
603	2489	1631
604	2491	1626
605	2493	1621
606	2495	1615
607	2497	1610
608	2498	1604
609	2499	1598
610	2501	1592
611	2506	1589
612	2509	1584
613	2512	1579
614	2513	1573
615	2515	1567
616	2516	1562
617	2519	1557
618	2530	1557
619	2538	1555
620	2543	1552
621	2545	1546
622	2551	1543
623	2553	1538
624	2558	1534
625	2559	1529
626	2561	1523
627	2571	1523
628	2575	1519
629	2577	1513
630	2584	1511
631	2586	1506
632	2590	1501
633	2591	1496
634	2592	1490
635	2598	1486
636	2599	1481
637	2602	1476
638	2604	1471
639	2606	1465
640	2612	1463
641	2613	1457
642	2615	1452
643	2619	1447
644	2620	1442
645	2621	1436
646	2626	1432
647	2627	1427
648	2629	1422
649	2632	1417
650	2634	1412
651	2635	1406
652	2641	1403
653	2643	1398
654	2645	1393
655	2647	1388
656	2648	1382
657	2649	1377
658	2653	1372
659	2655	1367
660	2657	1362
661	2659	1358
662	2661	1352
663	2662	1347
664	2663	1341
665	2667	1337
666	2669	1332
667	2673	1328
668	2675	1323
669	2676	1318
670	2679	1313
671	2681	1308
672	2683	1303
673	2684	1298
674	2686	1293
675	2688	1288
676	2689	1283
677	2694	1279
678	2695	1274
679	2696	1269
680	2698	1264
681	2700	1259
682	2701	1253
683	2702	1248
684	2704	1243
685	2708	1239
686	2710	1235
687	2712	1230
688	2716	1226
689	2717	1220
690	2718	1215
691	2725	1213
692	2727	1208
693	2730	1203
694	2732	1199
695	2734	1194
696	2740	1191
697	2741	1186
698	2743	1181
699	2745	1176
700	2747	1171
701	2748	1166
702	2749	1161
703	2753	1157
704	2755	1152
705	2756	1147
706	2760	1143
707	2761	1138
708	2762	1133
709	2763	1128
710	2767	1124
711	2769	1120
712	2770	1115
713	2773	1110
714	2775	1106
715	2776	1101
716	2778	1096
717	2784	1093
718	2786	1089
719	2790	1085
720	2791	1080
721	2792	1075
722	2798	1072
723	2799	1067
724	2801	1062
725	2806	1059
726	2807	1054
727	2809	1049
728	2811	1045
729	2813	1040
730	2814	1035
731	2815	1030
732	2822	1028
733	2823	1023
734	2825	1018
735	2828	1014
736	2830	1009
737	2836	1006
738	2837	1002
739	2845	999
740	2847	995
741	2849	990
742	2851	986
743	2852	981
744	2858	978
745	2860	973
746	2862	969
747	2865	965
748	2866	960
749	2867	955
750	2874	952
751	2875	948
752	2877	943
753	2880	939
754	2881	935
755	2882	930
756	2889	927
757	2891	923
758	2894	919
759	2896	914
760	2897	910
761	2898	905
762	2904	902
763	2906	897
764	2907	893
765	2911	889
766	2912	884
767	2918	881
768	2920	877
769	2923	873
770	2925	868
771	2926	864
772	2928	859
773	2935	857
774	2936	852
775	2938	848
776	2940	844
777	2942	839
778	2943	835
779	2950	832
780	2952	827
781	2954	823
782	2956	819
783	2957	814
784	2958	810
785	2964	807
786	2966	802
787	2968	798
788	2970	794
789	2972	790
790	2974	785
791	2980	782
792	2981	778
793	2983	773
794	2987	770
795	2989	766
796	2990	761
797	2992	757
798	2993	753
799	2997	749
800	2999	745
801	3000	740
802	3004	737
803	3006	732
804	3008	728
805	3011	724
806	3012	720
807	3013	716
808	3020	713
809	3021	708
810	3023	704
811	3026	700
812	3027	696
813	3028	692
814	3035	689
815	3040	685
816	3042	681
817	3043	677
818	3044	672
819	3051	669
820	3052	665
821	3055	661
822	3057	657
823	3059	653
824	3064	650
825	3066	645
826	3067	641
827	3070	637
828	3072	633
829	3073	629
830	3074	625
831	3081	622
832	3083	618
833	3086	614
834	3088	610
835	3090	606
836	3096	603
837	3098	599
838	3102	595
839	3103	591
840	3104	586
841	3111	583
842	3114	580
843	3118	576
844	3119	572
845	3127	569
846	3128	565
847	3130	561
848	3132	557
849	3134	553
850	3135	548
851	3140	545
852	3142	541
853	3145	537
854	3146	533
855	3147	529
856	3149	525
857	3156	522
858	3157	518
859	3161	514
860	3164	510
861	3171	507
862	3174	503
863	3176	500
864	3178	496
865	3182	492
866	3184	488
867	3192	485
868	3206	483
869	3209	479
870	3214	476
871	3220	472
872	3222	468
873	3229	465
874	3236	462
875	3247	459
876	3250	455
877	3263	453
878	3267	449
879	3297	449
880	3299	445
881	3303	441
882	3305	437
883	3307	433
884	3311	430
885	3313	426
886	3322	423
887	3325	419
888	3327	415
889	3328	411
890	3335	408
891	3337	404
892	3342	400
893	3343	396
894	3349	392
895	3352	389
896	3355	385
897	3358	381
898	3359	377
899	3368	374
900	3372	370
901	3373	366
902	3374	362
903	3382	359
904	3384	355
905	3388	351
906	3389	347
907	3395	344
908	3397	340
909	3400	336
910	3403	332
911	3404	328
912	3405	324
913	3411	320
914	3412	317
915	3415	313
916	3417	309
917	3419	305
918	3420	301
919	3428	298
920	3430	294
921	3434	290
922	3435	286
923	3439	282
924	3441	279
925	3443	275
926	3447	271
927	3449	267
928	3450	263
929	3455	260
930	3458	256
931	3462	252
932	3464	248
933	3465	244
934	3472	241
935	3474	237
936	3476	233
937	3478	229
938	3480	226
939	3481	222
940	3487	218
941	3488	214
942	3491	211
943	3493	207
944	3494	203
945	3496	199
946	3502	196
947	3504	192
948	3506	188
949	3509	184
950	3510	180
951	3511	177
952	3515	173
953	3517	169
954	3518	165
955	3520	162
956	3522	158
957	3523	154
958	3524	150
959	3525	146
960	3529	143
961	3532	139
962	3534	135
963	3538	132
964	3539	128
965	3540	124
966	3547	121
967	3549	117
968	3552	113
969	3554	109
970	3555	106
971	3562	102
972	3564	98
973	3566	95
974	3569	91
975	3570	87
976	3571	84
977	3579	80
978	3581	76
979	3584	73
980	3585	69
981	3587	65
982	3589	62
983	3592	58
984	3593	54
985	3595	51
986	3598	47
987	3599	43
988	3600	40
989	3601	36
990	3606	32
991	3608	29
992	3609	25
993	3612	21
994	3614	18
995	3615	14
996	3622	10
997	3623	7
998	3626	3
999	3629	0
